Date,Distance (KM),Avg. HR (bpm),Max HR (bpm),Avg. Pace (min/km),Comments
"Mon, Oct 15, 2018",5.11,136,144,8:15,Garmin vivoactive smart watch in-built wrist HR
"Tue, Oct 16, 2018",6.61,135,177,7:57,
"Wed, Oct 17, 2018",4.1,141,164,7:29,
"Thu, Oct 18, 2018",6.14,152,170,7:25,
"Fri, Oct 19, 2018",5.11,134,142,8:23,
"Sat, Oct 20, 2018",10.14,135,146,8:56,
"Tue, Oct 23, 2018",3.52,130,141,8:46,
"Thu, Oct 25, 2018",5.21,135,143,8:41,
"Tue, Oct 30, 2018",5.06,135,144,8:18,
"Thu, Nov 1, 2018",7.13,136,144,8:41,
"Sat, Nov 3, 2018",10.13,137,160,8:44,
"Tue, Nov 6, 2018",3.11,157,167,6:57,
"Wed, Nov 7, 2018",8.31,142,176,9:12,
"Fri, Nov 9, 2018",5.44,127,163,11:08,
"Sat, Nov 10, 2018",8.1,143,151,8:55,
"Sun, Nov 11, 2018",3.11,159,168,7:30,
"Tue, Nov 13, 2018",5.21,136,182,8:15,
"Wed, Nov 14, 2018",5.11,139,148,8:25,
"Fri, Nov 16, 2018",6.11,141,159,8:30,
"Sat, Nov 17, 2018",6.11,157,173,7:56,
"Sun, Nov 18, 2018",10.1,137,163,8:52,
"Tue, Nov 20, 2018",12.1,120,145,8:01,
"Thu, Nov 22, 2018",3.5,140,155,8:45,
"Sun, Nov 25, 2018",5.27,160,175,7.01,
"Sun, Nov 25, 2018",9.3,164,183,8:52,
"Tue, Nov 27, 2018",3.18,129,152,9:17,
"Thu, Nov 29, 2018",5.1,93,156,9:33,
"Thu, Dec 13, 2018",5.12,139,149,8.56,
"Sun, Dec 16, 2018",8.76,136,154,8.54,
"Thu, Dec 20, 2018",5.1,139,149,9.08,First run with wahoo HR chest strap
"Tue, Jan 1, 2019",2.45,125,148,10.16,
"Tue, Jan 8, 2019",5.11,138,145,9.35,
"Thu, Jan 10, 2019",5.2,139,146,9.33,
"Sat, Jan 12, 2019",10.21,140,146,9.52,
"Sat, Feb 2, 2019",3.11,135,141,9.57,
"Mon, Feb 4, 2019",3.1,134,154,9:34,
"Tue, Feb 5, 2019",3.32,136,144,9:08,
"Thu, Feb 7, 2019",4.11,136,144,9:17,
"Tue, Feb 12, 2019",4.1,136,144,8:49,
"Mon, Feb 18, 2019",2.1,134,143,8:50,
"Tue, Feb 19, 2019",2.12,135,144,8:42,
"Fri, Feb 22, 2019",3.12,136,144,8:43,
"Tue, Feb 26, 2019",2.1,136,142,9:04,
"Sun, Mar 10, 2019",5.12,137,143,9:56,
"Wed, Mar 13, 2019",3.3,136,142,9:17,
"Fri, Mar 15, 2019",3.82,136,141,8:48,
"Sat, Mar 16, 2019",3.36,136,142,8:51,
"Sun, Mar 17, 2019",13.11,138,157,8:30,
"Wed, Mar 20, 2019",2.03,135,141,9:01,
"Thu, Mar 21, 2019",3.44,135,141,8:45,
"Sat, Mar 23, 2019",3.33,136,144,8:58,
"Sun, Mar 24, 2019",3.1,146,154,8:13,
"Tue, Mar 26, 2019",2.43,135,142,9:18,
"Wed, Mar 27, 2019",3.31,136,142,9:12,
"Thu, Mar 28, 2019",3.32,137,143,9:03,
